Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
Swiss Satellite Radio;219000;1226748;25-49%;0:04:36;2100293;x;301;swissrad;
Swisscom TV Air;765000;9550092;95-100%;0:11:56;56563786;;410;tvair;
swissinfo.ch;767000;1643167;25-49%;0:03:16;3416521;x;239;swissinf;
swissinfo.ch - people2power.info;;;;;;;;swissinf;
swissmilk.ch;885000;1687747;90-94%;0:03:09;4665546;;151;smilk;
swissmom.ch;357000;974535;75-79%;0:04:51;3451621;;409;swissmom;
tagesanzeiger.ch;2528000;17038855;80-84%;0:05:59;90488235;;5;tagesanz;
tagesanzeiger.ch - zueritipp.ch;;;;;277'861;;;tagesanz;
tageswoche.ch;242000;738449;85-89%;0:04:19;1715445;;425;tagesw;
tele.ch;88000;339362;95-100%;0:03:10;1672211;;324;tele;
tele.ch - epg-wilmaa;;;;;228'501;;;tele;
tele.ch - TV-Star.ch;;;;;;;;tele;
TeleBaern.tv;38000;56968;90-94%;0:04:14;123733;;488;telebaer;
telebielingue.ch;9000;14507;90-94%;0:03:48;35160;;437;telebiel;
Teleboy.ch;523000;3236169;90-94%;0:06:21;12442860;;30;teleboy;
TeleM1.ch;47000;78110;85-89%;0:04:09;169339;;487;telem1;
teletext.ch;590000;8132648;95-100%;0:06:49;130835809;;164;teletext;
telezueri.ch;125000;255999;85-89%;0:05:38;592319;;219;telezh;
Tempslibre.ch;47000;60202;85-89%;0:03:13;210272;;171;templib;
ticinonews.ch ;249000;2337225;85-89%;0:04:29;9807517;;309;ticinews;
ticketcorner.ch;853000;1505189;75-79%;0:04:01;6845847;;333;ticketco;
Tierwelt online;63000;111186;50-54%;0:02:15;260843;;141;tierwelt;
tio.ch;524000;7770371;90-94%;0:05:56;42617199;;14;ticinonl;
tio.ch - Epaper 20minuti;;;;;12'937;;;ticinonl;
tio.ch - Site;;;;;42'529'585;;;ticinonl;
tio.ch - tuttojob.ch;;;;;;;;ticinonl;
toasted.ch;19000;89710;90-94%;0:07:26;203084;;439;toasted;
transfermarkt.ch;152000;609596;90-94%;0:05:42;2867694;;351;transfer;
Tribune de Genève;1133000;5902749;65-69%;0:03:43;26458097;;82;tdg;
Tribune de Genève - Guideloisirs.ch;;;;;26'144;;;tdg;
Tribune de Genève - Signegeneve.ch;;;;;;;;tdg;
tutti.ch;1697000;11736412;85-89%;0:08:18;240552690;;471;tutti;
tv24.ch;16000;22499;70-74%;0:02:32;67781;;456;tv24;
TV8;40000;129570;85-89%;0:02:44;716397;;167;tv8;
tvsvizzera.it;94000;162703;<25%;0:04:02;213222;x;450;tvsvizz;
usgang.ch;156000;398142;90-94%;0:04:19;13529895;;154;usgang;
vaterland.li;45000;191406;75-79%;0:03:48;1387104;;464;vaterlan;
vaterland.li - kul-magazin.li;;;;;;;;vaterlan;
vaterland.li - kundmachungen.li;;;;;;;;vaterlan;
vaterland.li - liewo.li;;;;;;;;vaterlan;
vaterland.li - vaterlandmagazin.li;;;;;;;;vaterlan;
vaterland.li - wirtschaftregional.li;;;;;;;;vaterlan;
vivatv.ch;17000;23863;95-100%;0:02:27;56232;;332;vivatv;
vornamen.ch;174000;231013;50-54%;0:03:08;634298;;432;vornamen;
watson.ch;1291000;8940707;80-84%;0:06:02;90338460;;448;watson;
Weblaw AG;23000;71656;90-94%;0:03:54;160274;;218;weblaw;
weltfussball.com;44000;113438;60-64%;0:05:46;578826;;363;weltfuss;
Weltwoche;103000;172249;55-59%;0:04:22;476035;;12;weltwoch;
Wetter.com;684000;2040540;90-94%;0:02:29;5189045;;134;wetter;
wildeisen.ch;363000;725029;90-94%;0:02:54;2206582;;144;wildeis;
wilmaa.com;363000;3645666;95-100%;0:09:10;12286209;;344;wilmaa;
wireltern.ch;149000;202855;75-79%;0:02:29;481102;;338;wirelter;
WOZ Die Wochenzeitung;69000;120530;65-69%;0:04:50;229711;;4;woz;
yousty.ch;111000;214538;90-94%;0:07:06;2151068;;472;yousty;
zattoo.com;1252000;10672377;95-100%;0:10:39;33309545;;315;zattoo;
ZIP.ch;316000;417767;95-100%;0:02:16;1245782;;477;zip;
Zofinger Tagblatt online;22000;86394;85-89%;0:03:03;201606;;140;ztgb;
zsz.ch;74000;163349;80-84%;0:02:50;416640;;319;zsz;
zueriost.ch;104000;386343;85-89%;0:03:58;1049502;;491;zueriost;
zuonline.ch;58000;112385;80-84%;0:02:26;246443;;318;zuonline;
zuri.net;99000;128416;90-94%;0:02:10;265238;;443;zurinet;



Netzwerke Angebot;Unique Clients;Visits;Page Impressions;ANID;Offer;
20 Minuten Online & Tio.ch Kombi;6'789'000;125608391;1390770042;6199;;
20 Minuten Online & Tio.ch Kombi - 20min.ch - D-CH;;;1099342015;6199;20minde;
20 Minuten Online & Tio.ch Kombi - 20min.ch - W-CH;;;248810828;6199;20minro;
20 Minuten Online & Tio.ch Kombi - tio.ch;;;42617199;6199;ticinonl;
AZ TV-Senderfamilie Netzwerk;211'000;404040;953172;6226;;
AZ TV-Senderfamilie Netzwerk - TeleBaern.tv;;;123733;6226;telebaer;
AZ TV-Senderfamilie Netzwerk - TeleM1.ch;;;169339;6226;telem1;
AZ TV-Senderfamilie Netzwerk - telezueri.ch;;;592319;6226;telezh;
AZ TV-Senderfamilie Netzwerk - tv24.ch;;;67781;6226;tv24;
Bieler Newsnetzwerk;123'000;289384;811672;6212;;
Bieler Newsnetzwerk - Bielertagblatt.ch;;;561556;6212;bielertb;
Bieler Newsnetzwerk - canal3.ch;;;33351;6212;canal3;
Bieler Newsnetzwerk - Journaldujura.ch;;;181605;6212;journal;
Bieler Newsnetzwerk - telebielingue.ch;;;35160;6212;telebiel;
Blick am Abend / Blick Online;5'133'000;64125639;798284770;6215;;
Blick am Abend / Blick Online - Blick am Abend;;;19119965;6215;baaonl;
Blick am Abend / Blick Online - Blick Online;;;779164805;6215;blickonl;
BNJ FM;146'000;822484;2461676;6187;;
BNJ FM - RFJ;;;1401885;6187;rfj;
BNJ FM - RJB;;;444634;6187;rjb;
BNJ FM - RTN;;;615157;6187;rtn;
Business Class;6'343'000;35028631;144935790;6221;;
Business Class - cash/borsalino.ch;;;14498594;6221;cash;
Business Class - Corriere del Ticino;;;8433925;6221;cdt;
Business Class - finews.ch;;;1233567;6221;finews;
Business Class - LE TEMPS;;;6313680;6221;letemps;
Business Class - Luzerner Zeitung;;;13722844;6221;lusonz;
Business Class - moneyhouse;;;5785527;6221;moneyh;
Business Class - Neue Zürcher Zeitung;;;43423125;6221;nzz;
Business Class - Nordwestschweiz Netz;;;28008941;6221;aznetz;
Business Class - St. Galler Tagblatt;;;10248559;6221;tagblatt;
Business Class - suedostschweiz.ch;;;3459511;6221;suedost;
Business Class - ticinonews.ch ;;;9807517;6221;ticinews;
Carpe Media Netzwerk;707'000;1053257;2771617;6219;;
Carpe Media Netzwerk - familienleben.ch;;;940546;6219;famleben;
Carpe Media Netzwerk - femininleben.ch;;;1226524;6219;femleb;
Carpe Media Netzwerk - nachhaltigleben.ch;;;604547;6219;nachhalt;
Das Wirtschaftsnetz;926'000;3553721;13808377;6196;;
Das Wirtschaftsnetz - bilanz.ch;;;1099364;6196;bilanz;
Das Wirtschaftsnetz - finanzen.ch;;;10401984;6196;finanzen;
Das Wirtschaftsnetz - handelszeitung.ch;;;2307029;6196;handelsz;
Energy Digital;539'000;2431985;26200610;6228;;
Energy Digital - energy.ch;;;7737495;6228;energyzh;
Energy Digital - partyguide.ch;;;3738115;6228;partygui;
Energy Digital - students.ch;;;1195105;6228;students;
Energy Digital - usgang.ch;;;13529895;6228;usgang;
Gastro-pool;99'000;125552;215743;6210;;
Gastro-pool - Bonresto.ch;;;56304;6210;bonrest;
Gastro-pool - itaste.com;;;159439;6210;itaste;
GeneralMedia SA;428'000;695526;2391066;6204;;
GeneralMedia SA - Accrowin.ch;;;745192;6204;accrowin;
GeneralMedia SA - Bonresto.ch;;;56304;6204;bonrest;
GeneralMedia SA - itaste.com;;;159439;6204;itaste;
GeneralMedia SA - loisirs.ch;;;1219859;6204;loisirs;
GeneralMedia SA - Tempslibre.ch;;;210272;6204;templib;
Loisirs & culture pool;342'000;507405;1430131;6209;;
